product_id,category_id,supplier_id,sku,product_name,brand,cost_price,selling_price,discount_percent,gst_percent,stock_quantity,reorder_level,rating,launch_date,warranty_months,color,unit,status,inventory_value,returnable
22,18,28,SKU100022,Consequuntur Modi,Realme,17480,20385.67,25,18,902,18,4.5,2023-12-02,12,Pink,Litre,Inactive,18387874.34,Yes
23,18,39,SKU100023,Odit Tempora,Milton,6888,10810.47,10,18,270,24,4.6,2024-08-28,12,Green,Pack,Active,2918826.9,No
24,7,88,SKU100024,Dolorem Maxime,Prestige,17400,23537.06,20,18,927,16,1.4,2024-07-29,24,Black,Piece,Inactive,21818854.62,Yes
25,9,21,SKU100025,Eos Velit,Canon,36254,52671.03,50,18,9,24,1.3,2023-10-29,12,Yellow,Piece,Inactive,474039.27,Yes
26,14,17,SKU100026,Voluptates Vero,Apple,20302,26033.78,0,18,920,55,1.8,2022-02-28,6,Silver,Litre,Inactive,23951077.6,Yes
27,8,21,SKU100027,Sequi Tempora,Dell,27120,30168.1,25,18,801,62,4.2,2023-01-04,12,Green,Box,Active,24164648.1,No
28,2,61,SKU100028,Quibusdam Exercitationem,Boat,13179,19877.8,40,18,358,49,4.3,2022-12-11,12,Black,Box,Inactive,7116252.4,No
29,9,9,SKU100029,Officiis Modi,Nike,23112,32836.16,30,18,695,78,2.3,2023-11-07,24,Blue,Litre,Inactive,22821131.2,Yes
30,4,77,SKU100030,Tempore Voluptas,Philips,22754,33318.06,25,18,446,87,,2026-04-17,12,Green,Piece,Inactive,14859854.76,Yes
31,17,69,SKU100031,Est Vitae,Milton,47248,74185.58,15,18,372,65,1.3,2024-04-24,24,Brown,Pack,Active,27597035.76,No
32,17,40,SKU100032,Aspernatur Eum,Milton,26864,33931.69,20,18,567,26,1.8,2021-10-29,36,Blue,Litre,Inactive,19239268.23,No
33,18,1,SKU100033,Ipsam Natus,Adidas,18903,22779.84,25,18,476,66,2.8,2023-10-31,36,Blue,Piece,Inactive,10843203.84,No
34,3,97,SKU100034,At Error,Boat,44192,55470.23,15,18,150,13,1.2,2026-05-19,6,Pink,Kg,Active,8320534.5,No
35,16,52,SKU100035,Ipsam Error,Boat,9771,13953.27,0,18,914,23,4.1,2025-10-20,36,Black,Litre,Active,12753288.78,Yes
36,15,18,SKU100036,Nam Temporibus,Canon,43850,59880.07,50,18,609,50,4.8,2025-06-16,36,Yellow,Kg,Active,36466962.63,No
37,15,34,SKU100037,Dicta Fuga,Boat,41889,51886.05,120,18,496,90,2.0,2022-09-28,24,Red,Pack,Inactive,25735480.8,No
38,18,11,SKU100038,Expedita Ratione,HP,9984,12136.86,10,18,723,37,1.3,2026-02-20,36,Grey,Piece,Active,8774949.78,No
39,13,99,SKU100039,Fuga Reprehenderit,Xiaomi,45681,50695.22,30,18,488,10,4.8,2025-03-14,36,Grey,Litre,Active,24739267.36,No
40,8,35,SKU100040,Reprehenderit Natus,Philips,31927,35583.04,25,18,684,96,4.2,2024-08-19,36,Blue,Litre,Active,24338799.36,No
41,19,73,SKU100041,Est Deserunt,Milton,1876,2142.34,30,18,138,69,1.7,2025-11-21,24,Red,Kg,Inactive,295642.92,No
42,13,36,SKU100042,Possimus Consectetur,Philips,16632,25238.32,40,18,19,79,1.2,2021-12-15,12,White,Piece,Active,479528.08,Yes
43,7,3,SKU100043,Culpa Dolor,Bajaj,10086,12297.58,40,18,685,24,3.3,2022-12-01,24,Silver,Box,Active,8423842.3,Yes
44,10,14,SKU100044,Vero Nisi,Xiaomi,1782,2787.84,30,18,406,35,1.3,2022-02-04,12,White,Pack,Active,1131863.04,Yes
45,12,69,SKU100045,Molestiae Modi,Philips,43453,55849.51,50,18,663,53,1.1,2025-07-15,36,White,Kg,Inactive,37028225.13,No
46,5,56,SKU100046,Quia Explicabo,Dell,48190,65580.49,20,18,630,78,4.1,2026-04-05,24,Silver,Box,Active,41315708.7,No
47,15,32,SKU100047,Accusamus Vero,Canon,37445,52616.44,30,18,344,13,3.0,2022-07-12,36,Red,Pack,Inactive,18100055.36,No
48,9,77,SKU100048,Vero Quidem,Cello,18205,25084.59,50,18,970,34,1.3,2023-10-28,36,Yellow,Box,Inactive,24332052.3,No
49,15,3,SKU100049,Temporibus Laboriosam,Sony,19383,23468.9,15,18,313,94,3.3,2022-07-03,24,Grey,Litre,Inactive,7345765.7,No
50,15,35,SKU100050,Impedit Nostrum,Adidas,16575,20143.08,15,18,323,25,4.0,2022-11-25,12,Red,Box,Inactive,6506214.84,No
51,19,98,SKU100051,Odit A,Realme,39211,48680.43,5,18,852,34,2.2,2023-10-18,24,Black,Litre,Active,41475726.36,No
52,2,7,SKU100052,Provident Dolorum,OnePlus,19245,27880.4,10,18,653,72,1.4,2025-11-15,24,Pink,Kg,Inactive,18205901.2,No
53,6,7,SKU100053,Corrupti Sunt,Nike,31408,36340.42,5,18,410,72,1.3,2024-02-04,6,Blue,Box,Inactive,14899572.2,Yes
54,8,16,SKU100054,Tempore Quae,OnePlus,27374,38410.07,15,18,794,76,2.5,2023-03-31,24,Brown,Kg,Inactive,30497595.58,Yes
55,20,95,SKU100055,Dolor Minima,LG,13717,19378.79,20,18,676,20,1.6,2022-12-05,6,Blue,Piece,Inactive,13100062.04,No
56,20,61,SKU100056,Quis Quia,Adidas,2239,2722.04,20,18,719,68,1.3,2021-07-23,24,Brown,Box,Inactive,1957146.76,Yes
57,18,29,SKU100057,Sapiente Iste,Prestige,9864,15330.69,10,18,73,17,,2025-09-17,24,Pink,Piece,Inactive,1119140.37,No
58,13,35,SKU100058,Ad Culpa,Realme,35488,47798.7,5,18,612,15,4.6,2024-08-22,24,Black,Piece,Active,29252804.4,Yes
59,9,74,SKU100059,Inventore Excepturi,Apple,49662,58978.36,50,18,667,66,4.7,2022-01-17,36,Pink,Piece,Inactive,39338566.12,No
60,14,43,SKU100060,Excepturi Reiciendis,Puma,44017,50720.79,10,18,337,62,3.8,2022-03-23,36,Yellow,Piece,Inactive,17092906.23,Yes
61,11,33,SKU100061,Blanditiis Placeat,Puma,7697,12200.46,30,18,885,75,4.3,2022-02-22,36,Grey,Piece,Active,10797407.1,No
62,20,97,SKU100062,Quibusdam Debitis,Asus,41086,54275.45,0,18,208,44,3.2,2022-08-24,36,Pink,Piece,Active,11289293.6,Yes
63,6,40,SKU100063,Unde Pariatur,OnePlus,996,1370.62,5,18,230,24,2.8,2026-03-26,12,Pink,Pack,Inactive,315242.6,No
64,16,61,SKU100064,Doloremque Fuga,Boat,30035,41317.12,30,18,195,86,3.0,2026-01-16,6,Green,Kg,Inactive,8056838.4,No
65,1,37,SKU100065,Sequi Nisi,Adidas,38565,53603.87,40,18,886,29,2.8,2023-05-11,24,Yellow,Litre,Inactive,47493028.82,No
66,11,25,SKU100066,Quis Voluptas,Cello,15750,21827.91,15,18,876,62,,2023-04-07,36,Grey,Box,Inactive,19121249.16,Yes
67,5,65,SKU100067,Ipsa Natus,Xiaomi,21857,33547.22,40,18,102,77,4.6,2024-09-24,12,Grey,Box,Active,3421816.44,No
68,9,44,SKU100068,Nulla Quas,Bajaj,45497,59088.85,5,18,872,52,4.4,2025-05-24,36,Silver,Kg,Active,51525477.2,Yes
69,8,81,SKU100069,Cumque Expedita,Milton,18933,30268.43,5,18,444,22,4.0,2023-06-20,6,Pink,Box,Inactive,13439182.92,Yes
70,2,42,SKU100070,At Labore,Apple,19326,24722.43,30,18,149,41,3.1,2021-09-25,12,Blue,Box,Active,3683642.07,No
71,20,88,SKU100071,Repudiandae Quod,Boat,32715,50918.1,10,18,237,69,3.6,2023-07-06,6,,Pack,Active,12067589.7,Yes
72,15,45,SKU100072,Repudiandae Est,Xiaomi,19705,27970.64,30,18,706,42,2.8,2021-08-13,36,Pink,Piece,Active,19747271.84,No
73,19,46,SKU100073,Aut Voluptatum,Xiaomi,19490,31112.78,20,18,22,94,2.6,2022-01-20,6,Brown,Kg,Inactive,684481.16,Yes
74,20,46,SKU100074,Eum Atque,Boat,41821,49978.85,20,18,694,94,3.7,2021-10-27,6,Black,Pack,Inactive,34685321.9,Yes
75,19,47,SKU100075,Iure Aut,HP,6006,9338.21,25,18,765,63,1.7,2025-12-05,24,Yellow,Litre,Inactive,7143730.65,Yes
76,9,62,SKU100076,Ex Hic,Adidas,49026,75264.64,5,18,479,19,1.6,2025-09-07,36,Yellow,Pack,Active,36051762.56,No
77,1,34,SKU100077,Error Quis,OnePlus,8199,10883.3,20,18,598,58,4.3,2022-09-06,6,Red,Kg,Active,6508213.4,No
78,20,29,SKU100078,Rem Repellat,Prestige,4242,6013.89,40,18,931,99,2.2,2025-07-29,12,Black,Piece,Inactive,5598931.59,No
79,4,13,SKU100079,Exercitationem Pariatur,Boat,35328,41257.17,40,18,379,95,4.8,2025-01-06,36,Brown,Box,Inactive,15636467.43,Yes
80,16,79,SKU100080,Eaque Consequatur,Philips,18433,20577.83,25,18,222,66,2.8,2022-05-19,24,White,Pack,Inactive,4568278.26,Yes
81,13,36,SKU100081,Unde Non,Lenovo,8105,12761.37,40,18,93,94,1.8,2024-07-26,6,Black,Pack,Active,1186807.41,Yes
82,19,27,SKU100082,Nisi Neque,Sony,36420,43834.34,15,18,832,39,2.3,2025-07-11,6,Green,Box,Active,36470170.88,No
83,6,15,SKU100083,Asperiores Veniam,Milton,1789,2085.8,25,18,808,40,3.4,2022-05-23,24,Black,Box,Inactive,1685326.4,Yes
84,3,61,SKU100084,Assumenda Necessitatibus,Canon,23826,32322.8,5,18,462,74,1.9,2024-06-10,24,Pink,Piece,Active,14933133.6,No
85,13,55,SKU100085,Corrupti Expedita,Milton,7175,9651.34,40,18,75,20,2.3,2023-03-09,12,Green,Litre,Inactive,723850.5,No
86,20,68,SKU100086,Eaque Quidem,Adidas,29834,40358.71,30,18,101,99,1.5,2025-05-15,12,Grey,Kg,Active,4076229.71,No
87,11,59,SKU100087,Deserunt Nisi,Titan,27362,40080.03,25,18,437,50,3.7,2023-02-12,12,Pink,Piece,Active,17514973.11,Yes
88,3,56,SKU100088,Hic Officiis,LG,48897,71849.15,10,18,569,17,3.3,2023-09-06,24,White,Kg,Inactive,40882166.35,No
89,2,37,SKU100089,Autem Numquam,Bajaj,20576,26251.34,50,18,217,29,3.6,2026-03-27,6,Silver,Litre,Inactive,5696540.78,Yes
90,9,74,SKU100090,Consequuntur Architecto,Boat,28222,42970.18,50,18,26,87,4.7,2026-02-25,24,Black,Box,Inactive,1117224.68,No
91,11,45,SKU100091,Accusantium Consectetur,Samsung,11988,18400.76,30,18,71,28,4.0,2023-07-26,6,Yellow,Box,Inactive,1306453.96,No
92,15,44,SKU100092,Doloremque Nemo,Dell,24351,30580.44,25,18,795,82,3.4,2025-09-07,12,Blue,Litre,Active,24311449.8,Yes
93,9,57,SKU100093,Perspiciatis Error,Milton,27888,37448.87,40,18,424,44,1.9,2024-12-18,24,Grey,Piece,Inactive,15878320.88,No
94,17,86,SKU100094,Assumenda Doloremque,Adidas,3076,3722.76,0,18,7,36,2.2,2024-10-11,12,Green,Pack,Inactive,26059.32,Yes
95,1,64,SKU100095,A Molestias,Philips,11614,13525.58,50,18,720,39,3.0,2023-10-23,24,White,Kg,Active,9738417.6,No
96,1,59,SKU100096,Odit Illo,Sony,20616,28612.53,30,18,726,91,2.7,2025-02-25,6,Silver,Box,Inactive,20772696.78,No
97,3,56,SKU100097,Voluptatem Quos,LG,16045,21144.71,30,18,536,20,2.6,2025-09-11,24,Red,Pack,Active,11333564.56,Yes
98,17,82,SKU100098,Dolor Eaque,LG,34873,47252.08,25,18,359,92,4.3,2024-01-29,12,Green,Box,Active,16963496.72,Yes
99,3,23,SKU100099,Esse Aspernatur,Prestige,32482,43265.26,40,18,697,82,3.6,2026-06-25,24,Silver,Box,Inactive,30155886.22,Yes
100,16,57,SKU100100,Quis Assumenda,Prestige,19945,29880.9,0,18,360,74,,2024-03-22,6,Black,Pack,Inactive,10757124.0,Yes
101,3,79,SKU100101,Aspernatur Architecto,Bajaj,33331,43071.69,50,18,977,15,2.8,2026-07-10,12,Silver,Litre,Inactive,42081041.13,Yes
102,2,58,SKU100102,Perferendis Provident,LG,22607,35972.1,5,18,516,92,1.7,2026-01-27,36,Pink,Litre,Active,18561603.6,No
103,12,37,SKU100103,Dolore Aspernatur,Titan,26889,39990.19,0,18,808,90,3.6,2025-11-15,6,Yellow,Kg,Inactive,32312073.52,No
104,20,20,SKU100104,Beatae Ea,Puma,5441,7570.44,10,18,938,54,2.2,2022-02-19,36,Blue,Litre,Active,7101072.72,No
105,18,49,SKU100105,Saepe Atque,Prestige,21627,32583.07,50,18,95,92,3.7,2023-07-22,6,Silver,Pack,Active,3095391.65,Yes
106,11,99,SKU100106,Necessitatibus Cumque,Asus,12683,15387.92,10,18,158,19,2.2,2026-05-26,6,Silver,Litre,Active,2431291.36,No
107,5,21,SKU100107,Expedita Repellendus,Dell,45506,67601.39,10,18,738,66,1.2,2021-11-22,12,Pink,Litre,Inactive,49889825.82,No
108,8,69,SKU100108,Sit Beatae,Boat,20381,32259.01,40,18,925,34,2.5,2025-02-13,36,Pink,Pack,Inactive,29839584.25,No
109,6,26,SKU100109,Unde Reprehenderit,Bajaj,9170,14089.71,0,18,656,71,4.5,2026-05-13,6,Yellow,Piece,Inactive,9242849.76,Yes
110,6,35,SKU100110,Quasi Ipsam,Canon,33743,39603.29,30,18,93,38,4.3,2023-10-10,6,,Piece,Inactive,3683105.97,No
111,8,50,SKU100111,Enim Velit,Sony,24670,29906.69,25,18,953,22,4.4,2024-03-24,12,Blue,Piece,Inactive,28501075.57,No
112,5,98,SKU100112,Excepturi Fuga,Cello,30843,40845.41,0,18,927,20,1.1,2024-12-02,12,Yellow,Litre,Inactive,37863695.07,Yes
113,10,31,SKU100113,Delectus Velit,Adidas,8085,9086.53,30,18,654,89,2.8,2024-02-09,36,Brown,Litre,Active,5942590.62,Yes
114,5,38,SKU100114,Officia Ipsam,Philips,202,284.3,15,18,584,63,1.7,2022-03-04,24,White,Litre,Active,166031.2,No
115,16,6,SKU100115,Accusamus Officia,Prestige,25454,40485.09,20,18,765,12,2.4,2026-05-06,12,White,Litre,Inactive,30971093.85,Yes
116,2,46,SKU100116,Consequuntur Aut,OnePlus,22287,33581.04,10,18,850,97,2.9,2026-02-16,12,Blue,Piece,Inactive,28543884.0,Yes
117,10,26,SKU100117,Error Quae,Apple,13172,20323.02,25,18,955,49,3.1,2023-10-23,36,Green,Piece,Active,19408484.1,No
118,12,100,SKU100118,Delectus Laudantium,Apple,43074,54530.06,5,18,818,57,2.7,2022-02-20,36,Grey,Pack,Active,44605589.08,No
119,16,48,SKU100119,Exercitationem Maxime,Realme,17579,26378.59,30,18,80,65,3.4,2023-12-24,24,Silver,Piece,Active,2110287.2,No
120,10,40,SKU100120, Dolore Nulla ,Canon,39593,57759.51,10,18,706,66,2.4,2026-03-05,24,Brown,Kg,Inactive,40778214.06,Yes
121,3,86,SKU100121,Voluptatibus Incidunt,Prestige,26721,34247.12,10,18,975,13,1.6,2026-01-20,36,Black,Box,Active,33390942.0,Yes
122,12,47,SKU100122,Accusamus Vel,Titan,37274,41604.97,10,18,695,67,4.8,2026-04-10,6,Brown,Box,Inactive,28915454.15,No
123,11,84,SKU100123,In Ut,Nike,16458,26007.92,0,18,753,33,3.0,2022-06-08,6,Green,Pack,Inactive,19583963.76,Yes
124,20,37,SKU100124, Deleniti Fuga ,Cello,32291,38752.08,10,18,873,19,2.8,2022-07-15,36,White,Pack,Inactive,33830565.84,Yes
125,18,70,SKU100125,Corrupti Quod,Adidas,19757,30142.88,10,18,812,56,3.0,2022-11-16,12,Blue,Box,Inactive,24476018.56,Yes
126,12,71,SKU100126,Fugit Id,Xiaomi,24276,32376.97,50,18,132,88,4.5,2023-05-07,36,Pink,Litre,Inactive,4273760.04,No
127,19,10,SKU100127,Laboriosam Enim,HP,20876,29668.33,40,18,477,97,3.1,2023-10-20,12,Blue,Kg,Active,14151793.41,Yes
128,17,20,SKU100128,Quae Porro,Adidas,10890,12860.91,15,18,354,76,4.6,2023-09-10,24,Red,Litre,Inactive,4552762.14,Yes
129,10,79,SKU100129,Asperiores Consectetur,OnePlus,6222,8407.71,10,18,606,84,,2025-02-27,24,Brown,Piece,Active,5095072.26,Yes
130,2,83,SKU100130,Harum Aperiam,Xiaomi,17444,24867.56,30,18,632,91,1.1,2021-08-02,24,Green,Kg,Active,15716297.92,No
131,10,59,SKU100131,Iusto Delectus,Sony,45228,51105.67,40,18,425,71,2.9,2023-10-13,12,Silver,Pack,Inactive,21719909.75,No
132,5,98,SKU100132,Dolorem Numquam,Levis,33849,46739.57,25,18,247,69,1.5,2026-04-01,12,White,Piece,Inactive,11544673.79,No
133,20,54,SKU100133,Voluptatibus Nobis,Boat,10566,15920.2,25,18,194,30,3.0,2026-04-29,36,Green,Kg,Active,3088518.8,Yes
134,13,65,SKU100134,Accusamus Culpa,Canon,15876,19171.42,25,18,49,16,2.1,2022-03-12,36,Green,Litre,Active,939399.58,Yes
135,14,18,SKU100135, Voluptas Distinctio ,Nike,47777,61292.58,30,18,374,15,2.6,2026-03-13,12,Silver,Litre,Inactive,22923424.92,Yes
136,13,65,SKU100136,Amet Maxime,Canon,36135,44802.35,5,18,131,22,2.6,2026-07-05,24,Yellow,Pack,Active,5869107.85,Yes
137,20,66,SKU100137,Quod Dignissimos,Titan,32873,36821.95,0,18,140,52,4.2,2025-03-18,12,Brown,Litre,Active,5155073.0,No
138,20,41,SKU100138,Debitis Animi,Dell,25852,41241.9,20,18,607,53,3.0,2024-03-05,36,Brown,Pack,Inactive,25033833.3,Yes
139,12,43,SKU100139,Maiores Animi,Milton,7283,11579.6,20,18,815,98,3.5,2024-08-06,24,Brown,Litre,Active,9437374.0,Yes
140,19,62,SKU100140,Eos Vero,Dell,34456,48738.45,30,18,151,97,2.0,2023-09-05,6,Red,Piece,Inactive,7359505.95,No
141,14,20,SKU100141,Vel Corporis,Philips,45352,54510.65,50,18,793,88,4.7,2024-07-24,6,Blue,Litre,Active,43226945.45,No
142,16,68,SKU100142,Ratione Nemo,Titan,20662,32611.72,40,18,934,78,2.4,2022-11-14,24,Brown,Kg,Active,30459346.48,Yes
143,9,72,SKU100143,Ex Dolorem,Adidas,14836,23303.54,20,18,789,46,3.8,2023-01-23,36,Silver,Kg,Inactive,18386493.06,No
144,10,16,SKU100144,Neque Alias,Xiaomi,44443,60957.82,30,18,838,54,4.8,2023-01-30,24,Black,Pack,Active,51082653.16,No
145,15,84,SKU100145,Iusto Neque,Nike,49077,65740.59,15,18,847,78,2.1,2023-09-01,24,Blue,Piece,Active,55682279.73,Yes
146,2,86,SKU100146,Fugiat Dolore,Realme,14889,21127.08,0,18,102,62,2.3,2022-06-22,12,Black,Litre,Active,2154962.16,No
147,16,62,SKU100147,Modi Amet,Prestige,13171,19466.15,20,18,328,46,3.6,2025-07-23,6,Brown,Box,Active,6384897.2,Yes
148,14,23,SKU100148,Est Eligendi,Apple,26117,39018.28,10,18,959,47,4.5,2025-06-21,6,Silver,Pack,Inactive,37418530.52,No
149,5,65,SKU100149,Laudantium Inventore,Canon,17980,21511.37,5,18,338,30,3.9,2023-06-29,12,Black,Pack,Inactive,7270843.06,Yes
150,6,79,SKU100150,Et Alias,Prestige,26674,40370.96,50,18,335,21,2.6,2023-03-14,12,Pink,Pack,Active,13524271.6,Yes
151,9,50,SKU100151,Natus Iure,Boat,29377,43386.25,25,18,309,84,3.9,2023-12-04,24,Red,Piece,Active,13406351.25,No
152,10,21,SKU100152,Atque Hic,TITAN,45062,60890.49,20,18,706,25,3.6,2024-07-16,24,Brown,Box,Active,42988685.94,Yes
153,16,20,SKU100153,Temporibus Quaerat,Canon,49103,78290.76,25,18,425,99,3.2,2024-12-14,12,Red,Litre,Active,33273573.0,No
154,17,91,SKU100154,Veritatis Quidem,Levis,5218,8132.89,5,18,63,80,4.6,2024-05-15,12,Blue,Pack,Inactive,512372.07,Yes
155,7,92,SKU100155,Aliquam Cum,Xiaomi,32135,36809.7,50,18,456,17,2.8,2023-10-11,36,Brown,Piece,Inactive,16785223.2,No
156,1,51,SKU100156,Dolorum Repellendus,Nike,297,437.45,5,18,46,64,2.4,2023-10-24,6,White,Kg,Active,20122.7,No
157,14,24,SKU100157,Amet Corrupti,HP,42142,66970.66,30,18,383,58,2.8,2025-04-02,36,Grey,Piece,Active,25649762.78,No
158,4,23,SKU100158,Laborum Ipsam,OnePlus,25859,35282.57,15,18,854,10,4.0,2025-04-07,36,Yellow,Kg,Inactive,30131314.78,Yes
159,8,59,SKU100159,Sequi Quaerat,Levis,10266,12707.51,5,18,32,94,2.7,2022-07-16,6,Red,Box,Active,406640.32,Yes
160,20,5,SKU100160,Molestiae Repellat,Canon,39276,56400.8,0,18,250,15,2.6,2023-03-04,12,Black,Box,Inactive,14100200.0,Yes
161,19,41,SKU100161,Facere Aperiam,Xiaomi,39285,58388.08,25,18,242,48,4.5,2025-04-06,12,Grey,Pack,Inactive,14129915.36,Yes
162,18,76,SKU100162,A Quasi,Dell,41125,59194.3,50,18,507,16,4.9,2026-02-18,36,Yellow,Pack,Inactive,30011510.1,No
163,5,39,SKU100163,Vitae Velit,Titan,12150,17948.08,40,18,246,38,2.2,2023-03-26,36,Black,Litre,Inactive,4415227.68,No
164,18,68,SKU100164,Maiores Non,HP,25555,31213.62,15,18,338,92,1.3,2022-02-24,24,White,Litre,Active,10550203.56,Yes
165,9,49,SKU100165,Vel Iure,Milton,39747,55703.87,5,18,192,85,3.9,2024-03-23,36,Red,Pack,Inactive,10695143.04,Yes
166,7,25,SKU100166,Ut Cupiditate,LG,49047,78464.7,40,18,936,41,3.8,2024-02-10,36,Red,Litre,Inactive,73442959.2,No
167,13,60,SKU100167,Quae Ipsa,OnePlus,42614,54530.14,20,18,368,75,4.5,2025-01-10,36,Silver,Box,Inactive,20067091.52,No
168,14,6,SKU100168,Itaque Necessitatibus,Xiaomi,14601,21472.61,0,18,267,80,4.7,2024-01-26,36,Green,Box,Active,5733186.87,No
169,8,49,SKU100169,Quod Debitis,Xiaomi,16204,21869.74,25,18,263,72,4.9,2023-03-10,36,Pink,Box,Inactive,5751741.62,Yes
170,5,93,SKU100170,Nihil Vel,OnePlus,32102,38266.35,50,18,657,17,3.1,2024-10-11,6,Black,Piece,Inactive,25140991.95,Yes
171,8,9,SKU100171,Veritatis Doloribus,Cello,9997,11042.39,50,18,466,57,1.2,2026-05-25,36,Pink,Piece,Active,5145753.74,No
172,1,3,SKU100172,Incidunt Necessitatibus,Realme,47429,58687.24,20,18,17,74,4.3,2026-03-20,12,White,Piece,Active,997683.08,Yes
173,7,80,SKU100173,A Incidunt,Realme,16642,25089.6,20,18,814,60,1.3,2023-12-30,36,Brown,Box,Active,20422934.4,No
174,3,84,SKU100174,Eos Non,Prestige,49880,55658.21,30,18,388,58,3.2,2026-06-27,6,Blue,Piece,Inactive,21595385.48,No
175,11,73,SKU100175,Sequi Ullam,LG,34713,54137.57,15,18,216,98,4.6,2024-04-18,6,White,Pack,Active,11693715.12,Yes
176,11,3,SKU100176,Omnis Numquam,Lenovo,38571,45208.91,30,18,951,19,2.2,2025-04-25,36,Yellow,Pack,Inactive,42993673.41,Yes
177,3,65,SKU100177,Veniam Error,Levis,3619,4157.66,15,18,858,19,2.4,2025-11-26,36,Silver,Piece,Inactive,3567272.28,No
178,16,30,SKU100178,Pariatur Dolores,Levis,36343,57079.28,30,18,190,97,3.3,2022-04-11,24,Red,Piece,Active,10845063.2,No
179,5,49,SKU100179,Id Quam,Cello,41643,49019.58,30,18,324,56,1.4,2024-05-28,24,Pink,Pack,Inactive,15882343.92,Yes
180,5,12,SKU100180,Consectetur Ex,Dell,28344,37539.41,50,18,524,62,1.4,2024-03-12,6,Brown,Litre,Inactive,19670650.84,No
181,1,38,SKU100181,Et Eius,Philips,25514,38005.26,50,18,926,41,3.3,2022-10-22,36,Blue,Box,Inactive,35192870.76,No
182,9,64,SKU100182,Alias Aperiam,HP,4246,5025.58,20,18,431,48,2.9,2023-08-21,24,Red,Kg,Active,2166024.98,No
183,4,18,SKU100183,Pariatur Similique,Adidas,543,854.91,25,18,861,89,2.5,2022-03-05,36,Silver,Kg,Active,736077.51,No
184,11,78,SKU100184,Odit Nesciunt,Cello,13263,17765.85,10,18,987,60,4.9,2026-06-14,36,Brown,Box,Inactive,17534893.95,No
185,9,51,SKU100185, Earum Voluptatem ,Levis,7563,11843.91,15,18,606,79,1.7,2024-10-26,6,Pink,Box,Inactive,7177409.46,No
