return_id,order_id,customer_id,return_date,return_reason,refund_amount,refund_status,inspection_status,return_mode,warehouse,product_condition,resolution,exchange_requested,processing_days,refund_method,customer_feedback,region,case_status,pickup_completed,ticket_status
12,30187,9234,2025-07-27,Changed Mind,71655.36,Rejected,Failed,Pickup,Warehouse C,Opened,Replacement,Yes,13,Bank Transfer,Poor,South,Resolved,Yes,Closed
13,26382,791,2025-06-12,Not as Described,48296.55,Rejected,Passed,Pickup,Warehouse A,Sealed,Replacement,Yes,4,UPI,Good,West,Resolved,No,Active
14,1258,1051,2025-11-13,Wrong Item Delivered,95973.16,Pending,Pending,Pickup,Warehouse A,Opened,Refund,Yes,3,Bank Transfer,Poor,West,Resolved,No,Active
15,24078,6706,2024-10-09,Missing Parts,4375.29,Pending,Failed,Drop,Warehouse B,Sealed,Refund,Yes,5,UPI,Excellent,North,Pending,Yes,Active
16,39792,1613,2024-11-22,Quality Issue,28589.96,Completed,Pending,Pickup,Warehouse A,Opened,Refund,Yes,7,UPI,Good,North,Resolved,No,Closed
17,5932,8815,2024-12-24,Duplicate Order,61820.47,Completed,Failed,Drop,Warehouse A,Sealed,Replacement,No,15,UPI,Excellent,West,Resolved,Yes,Active
18,47577,8641,2026-03-31,Duplicate Order,88960.83,Completed,Passed,Drop,Warehouse B,Opened,Replacement,No,10,Wallet,Excellent,East,Resolved,Yes,Closed
19,1880,1987,2024-12-04,Quality Issue,58216.44,Pending,Failed,Pickup,Warehouse C,Sealed,Refund,No,9,Bank Transfer,Average,North,Resolved,No,Closed
20,6529,7984,2025-11-30,Quality Issue,20528.32,Rejected,Failed,Pickup,Warehouse C,Sealed,Replacement,Yes,2,UPI,Good,North,Pending,Yes,Closed
21,23052,4619,2026-01-02,Duplicate Order,61226.28,Completed,Failed,Pickup,Warehouse C,Opened,Refund,No,13,Wallet,Poor,South,Resolved,Yes,Active
22,1488,3272,2025-08-17,Quality Issue,35995.11,Rejected,Failed,Drop,Warehouse C,Opened,Replacement,Yes,13,Wallet,Excellent,West,Resolved,No,Active
23,34763,6716,2024-12-02, Not as Described ,72582.49,Pending,Failed,Pickup,Warehouse A,Opened,Refund,No,6,Bank Transfer,Excellent,East,Pending,No,Closed
24,20410,5356,2024-11-16,Changed Mind,38378.94,Completed,Pending,Drop,Warehouse A,Opened,Replacement,No,12,Bank Transfer,Poor,North,Pending,Yes,Closed
25,36460,4365,2025-07-20,Damaged Product,28497.53,Rejected,Pending,Pickup,Warehouse B,Sealed,Refund,No,10,Bank Transfer,Excellent,East,Pending,No,Closed
26,11122,3457,2025-06-16,Quality Issue,40800.29,Completed,Failed,Drop,Warehouse C,Opened,Replacement,No,9,UPI,Average,East,Resolved,No,Closed
27,45439,9870,2026-08-06,Late Delivery,77226.93,Rejected,Failed,Pickup,Warehouse C,Opened,Replacement,No,2,UPI,Average,South,Resolved,Yes,Active
28,16873,5107,2024-11-19,Not as Described,72546.32,Rejected,Passed,Drop,Warehouse B,Opened,Replacement,No,7,UPI,Good,North,Resolved,No,Active
29,48120,7051,2025-09-08,Not as Described,131076.28,Completed,Pending,Pickup,Warehouse A,Sealed,Refund,No,11,Wallet,Average,West,Pending,No,Active
30,18418,1076,2026-01-23,Not as Described,95432.74,Pending,Passed,Drop,Warehouse C,Sealed,Refund,No,8,UPI,,South,Pending,No,Closed
31,45069,5769,2025-09-14,Quality Issue,100308.46,Completed,Passed,Drop,Warehouse C,Opened,Refund,Yes,7,Bank Transfer,Average,West,Pending,Yes,Active
32,35759,4460,2025-10-14,Damaged Product,102548.15,Rejected,Failed,Drop,Warehouse A,Sealed,Replacement,No,14,Bank Transfer,Good,West,Resolved,No,Closed
33,11930,3551,2025-03-05,Duplicate Order,14062.24,Rejected,Pending,Drop,Warehouse C,Opened,Replacement,Yes,10,Wallet,Excellent,West,Resolved,Yes,Closed
34,33448,2686,2025-12-10,Quality Issue,35196.07,Completed,Failed,Drop,Warehouse B,Opened,Replacement,No,6,Bank Transfer,Average,West,Pending,Yes,Closed
35,21783,6420,2025-02-01,Damaged Product,40058.39,Pending,Passed,Pickup,Warehouse C,Opened,Refund,Yes,4,UPI,Good,South,Resolved,No,Active
36,15119,7426,2025-03-13,Not as Described,119502.64,Rejected,Failed,Drop,Warehouse A,Opened,Refund,No,2,Wallet,Excellent,East,Pending,No,Active
37,14286,8749,2025-05-11,Late Delivery,59197.08,Completed,Pending,Drop,WAREHOUSE C,Opened,Refund,No,9,Bank Transfer,Average,North,Pending,Yes,Closed
38,21760,1942,2025-01-25,Missing Parts,64897.96,Pending,Pending,Drop,Warehouse C,Opened,Replacement,Yes,12,Wallet,Average,West,Pending,No,Closed
39,7464,6491,2026-06-07,Wrong Item Delivered,12669.32,Pending,Failed,Pickup,Warehouse B,Sealed,Replacement,Yes,8,Bank Transfer,Good,West,Resolved,No,Closed
40,26370,5531,2026-08-14,Changed Mind,59245.14,Rejected,Passed,Pickup,Warehouse A,Opened,Replacement,No,9,UPI,Poor,West,Pending,Yes,Active
41,16594,9424,2024-09-16,Late Delivery,79078.48,Pending,Pending,Drop,Warehouse B,Sealed,Replacement,No,6,Wallet,Poor,East,Pending,No,Active
42,542,296,2025-02-15,Duplicate Order,86759.11,Completed,Pending,Pickup,Warehouse A,Opened,Replacement,No,12,Wallet,Average,North,Resolved,No,Active
43,3686,2681,2025-10-31,Damaged Product,55310.51,Rejected,Pending,Pickup,Warehouse B,Opened,Refund,No,12,UPI,Poor,North,Resolved,No,Closed
44,13389,8133,2026-06-24,Quality Issue,30374.48,Completed,Failed,Drop,Warehouse A,Opened,Replacement,No,2,Wallet,Excellent,South,Resolved,No,Active
45,49983,2808,2024-08-21,Missing Parts,70474.49,Rejected,Pending,Pickup,Warehouse C,Sealed,Replacement,No,5,Wallet,Poor,East,Resolved,Yes,Active
46,23227,2011,2026-07-12,Wrong Item Delivered,87092.01,Completed,Passed,Pickup,Warehouse C,Opened,Refund,Yes,7,Bank Transfer,Poor,East,Resolved,Yes,Closed
47,605,1617,2025-10-21,Not as Described,69394.54,Completed,Pending,Pickup,Warehouse B,Opened,Replacement,Yes,9,UPI,Good,East,Resolved,Yes,Active
48,30809,5981,2025-11-27,Changed Mind,49545.04,Pending,Passed,Drop,Warehouse C,Sealed,Replacement,No,9,Wallet,Poor,West,Resolved,Yes,Closed
49,39996,7444,2024-12-26,Changed Mind,44109.57,Completed,Passed,Pickup,Warehouse C,Opened,Replacement,Yes,13,UPI,Poor,West,Pending,Yes,Closed
50,32937,6992,2024-11-20,Wrong Item Delivered,42249.02,Pending,Failed,Drop,Warehouse B,Sealed,Refund,Yes,6,Bank Transfer,Poor,East,Pending,Yes,Closed
51,12311,5933,2026-06-24,Duplicate Order,36708.67,Completed,Failed,Pickup,Warehouse C,Sealed,Replacement,Yes,4,Wallet,Average,West,Pending,Yes,Active
52,46944,1021,2026-04-10,Changed Mind,55518.61,Pending,Pending,Drop,Warehouse A,Opened,Refund,Yes,5,Wallet,Excellent,West,Resolved,Yes,Active
53,17186,1468,2025-03-12,Quality Issue,117901.51,Pending,Pending,Drop,Warehouse C,Sealed,Replacement,No,8,UPI,Poor,South,Pending,Yes,Active
54,24188,6627,2025-11-17,Missing Parts,830.37,Pending,Pending,Drop,Warehouse A,Sealed,Replacement,No,14,UPI,Poor,West,Pending,No,Closed
55,47233,6222,2024-10-02,Late Delivery,123131.66,Rejected,Passed,Drop,Warehouse A,Sealed,Refund,No,12,Bank Transfer,Poor,West,Resolved,No,Active
56,43667,8486,2026-02-23,Duplicate Order,105755.39,Completed,Failed,Pickup,Warehouse C,Sealed,Refund,Yes,7,Wallet,Good,North,Pending,No,Closed
57,7838,4995,2026-07-18,Wrong Item Delivered,43428.05,Pending,Pending,Drop,Warehouse B,Sealed,Refund,Yes,4,Wallet,,South,Resolved,No,Active
58,23750,3278,2025-01-24,Wrong Item Delivered,33507.91,Pending,Passed,Drop,Warehouse A,Opened,Replacement,Yes,5,Bank Transfer,Average,West,Resolved,Yes,Closed
59,2017,1917,2025-05-09,Quality Issue,51071.16,Completed,Passed,Pickup,Warehouse C,Sealed,Refund,No,15,Wallet,Good,South,Pending,No,Closed
60,39404,1365,2025-09-21,Not as Described,60978.45,Pending,Pending,Pickup,Warehouse A,Sealed,Replacement,No,11,Bank Transfer,Average,West,Pending,Yes,Closed
61,28164,7330,2026-06-12,Late Delivery,46775.06,Pending,Pending,Drop,Warehouse C,Sealed,Replacement,Yes,14,Wallet,Poor,East,Resolved,Yes,Closed
62,11106,8468,2025-02-09,Changed Mind,16489.57,Completed,Pending,Drop,Warehouse A,Opened,Replacement,Yes,11,UPI,Excellent,East,Pending,Yes,Closed
63,42949,8909,2025-10-05,Changed Mind,20426.68,Pending,Pending,Drop,Warehouse A,Opened,Refund,No,9,Wallet,Average,South,Pending,No,Closed
64,3226,2961,2026-03-19,Wrong Item Delivered,85842.1,Pending,Passed,Pickup,Warehouse A,Sealed,Replacement,Yes,13,Bank Transfer,Excellent,East,Resolved,No,Closed
65,34540,871,2026-07-23,Changed Mind,89208.68,Rejected,Failed,Drop,Warehouse A,Opened,Replacement,Yes,10,Wallet,Average,South,Resolved,No,Closed
66,43034,7294,2026-07-02,Quality Issue,89104.67,Completed,Passed,Drop,Warehouse B,Opened,Refund,Yes,15,Wallet,,West,Pending,No,Closed
67,28418,5538,2026-01-05,Quality Issue,61972.71,Pending,Pending,Pickup,Warehouse B,Sealed,Replacement,Yes,12,Bank Transfer,Good,West,Pending,Yes,Closed
68,39171,7777,2024-10-30,Duplicate Order,16485.51,Rejected,Pending,Drop,Warehouse A,Sealed,Replacement,Yes,2,Bank Transfer,Excellent,South,Resolved,Yes,Closed
69,15572,805,2025-01-12,Late Delivery,146931.81,Completed,Pending,Pickup,Warehouse C,Opened,Refund,No,13,UPI,Excellent,East,Resolved,Yes,Closed
70,38737,438,2025-06-17,Damaged Product,12634.73,Completed,Passed,Drop,Warehouse A,Sealed,Refund,Yes,5,UPI,,West,Resolved,Yes,Closed
71,36747,9065,2025-05-11,Wrong Item Delivered,122430.65,Pending,Pending,Pickup,Warehouse C,Opened,Replacement,No,11,UPI,,West,Pending,No,Active
72,30632,4613,2026-01-25,Not as Described,111584.86,Completed,Passed,Drop,Warehouse C,Opened,Refund,Yes,5,Wallet,Average,West,Pending,No,Closed
73,191,5681,2025-07-11,Wrong Item Delivered,119237.56,Rejected,Pending,Pickup,Warehouse B,Sealed,Refund,No,6,Bank Transfer,Poor,West,Resolved,No,Closed
74,3586,5466,2026-03-17,Duplicate Order,76056.92,Completed,Pending,Drop,Warehouse A,Opened,Refund,Yes,7,UPI,Average,South,Resolved,No,Active
75,15165,2957,2025-03-17,Missing Parts,54540.83,Rejected,Passed,Drop,Warehouse C,Sealed,Replacement,Yes,10,Wallet,Good,South,Pending,Yes,Active
76,43488,4308,2025-01-10,Duplicate Order,105338.94,Completed,Failed,Pickup,Warehouse B,Opened,Replacement,Yes,3,Bank Transfer,Average,East,Pending,Yes,Active
77,14299,5800,2026-08-08,Missing Parts,60424.58,Completed,Passed,Pickup,Warehouse A,Opened,Replacement,No,8,Bank Transfer,Good,East,Pending,No,Active
78,9886,8232,2024-12-15,Quality Issue,27170.3,Rejected,Passed,Pickup,Warehouse B,Sealed,Replacement,No,10,Bank Transfer,Poor,East,Resolved,Yes,Closed
79,19463,3745,2025-04-12,Not as Described,10597.62,Rejected,Pending,Drop,Warehouse A,Opened,Replacement,Yes,1,UPI,Average,South,Resolved,No,Closed
80,38156,1399,2026-01-15,Not as Described,70149.21,Rejected,Failed,Pickup,Warehouse A,Sealed,Refund,No,2,Bank Transfer,Excellent,West,Resolved,No,Active
81,15638,786,2025-11-11,Missing Parts,60784.81,Rejected,Failed,Drop,Warehouse B,Opened,Replacement,Yes,6,UPI,Poor,East,Resolved,No,Active
82,49152,1166,2025-12-13,Missing Parts,83007.84,Rejected,Passed,Drop,Warehouse B,Sealed,Refund,No,13,UPI,Excellent,North,Resolved,No,Closed
83,25840,2259,2026-03-16,Quality Issue,47182.66,Completed,Passed,Pickup,Warehouse B,Opened,Refund,Yes,13,Wallet,Excellent,South,Pending,No,Closed
84,17885,8237,2024-09-27,Duplicate Order,22194.56,Rejected,Failed,Pickup,Warehouse B,Opened,Replacement,No,11,Bank Transfer,Average,North,Pending,Yes,Closed
85,2437,6914,2025-06-04,Damaged Product,63946.34,Pending,Failed,Pickup,Warehouse C,Opened,Replacement,No,10,Wallet,Excellent,West,Resolved,No,Closed
86,19898,3049,2025-06-06,Damaged Product,27326.56,Pending,Passed,Drop,Warehouse C,Opened,Refund,Yes,4,Wallet,Poor,West,Resolved,No,Closed
87,24038,7832,2025-07-24,Missing Parts,53013.23,Pending,Pending,Pickup,Warehouse C,Sealed,Refund,No,2,Wallet,Poor,East,Pending,Yes,Closed
88,21867,7562,2025-01-08,Quality Issue,117337.63,Pending,Failed,Drop,Warehouse A,Opened,Replacement,No,11,Bank Transfer,Good,North,Pending,No,Active
89,28552,5764,2025-12-26,Late Delivery,59810,Pending,Failed,Pickup,Warehouse A,Opened,Refund,Yes,5,UPI,Excellent,East,Resolved,No,Active
90,8979,9399,2025-11-14,Quality Issue,53310.67,Rejected,Failed,Pickup,Warehouse B,Sealed,Refund,No,10,Bank Transfer,Poor,South,Resolved,No,Closed
91,31446,1578,2025-11-16,Duplicate Order,130103.85,Rejected,Pending,Drop,Warehouse B,Sealed,Replacement,No,3,UPI,Good,East,Resolved,No,Closed
92,22078,649,2025-12-27,Wrong Item Delivered,25907.7,Pending,Passed,Pickup,Warehouse B,Sealed,Refund,No,2,UPI,Poor,East,Resolved,No,Active
93,26505,2961,2024-08-23,Late Delivery,105874.66,Pending,Passed,Drop,Warehouse A,Opened,Replacement,Yes,14,Wallet,Average,South,Resolved,Yes,Closed
94,213,9471,2025-05-07,Quality Issue,130611.88,Rejected,Failed,Drop,Warehouse C,Opened,Refund,Yes,5,UPI,Good,West,Resolved,No,Active
95,473,6472,2026-05-24,Late Delivery,81663.21,Pending,Pending,Drop,Warehouse A,Opened,Replacement,Yes,11,Wallet,Good,South,Pending,No,Active
96,22146,9413,2025-06-07,Missing Parts,89153.96,Completed,Pending,Pickup,Warehouse C,Sealed,Refund,Yes,7,Bank Transfer,Excellent,West,Pending,No,Active
97,42316,1251,2024-12-13,Duplicate Order,64042.94,Completed,Pending,Pickup,Warehouse C,Sealed,Refund,Yes,6,Wallet,Average,South,Pending,No,Active
98,48895,8062,2025-04-04,Not as Described,28265.71,Completed,Failed,Pickup,Warehouse A,Opened,Refund,No,15,Bank Transfer,Poor,West,Pending,Yes,Active
99,23955,2581,2026-06-21,Damaged Product,45775.57,Rejected,Failed,Drop,Warehouse A,Sealed,Replacement,No,12,Bank Transfer,Poor,East,Resolved,No,Closed
100,38100,6257,2026-03-19,Changed Mind,71749.48,Completed,Pending,Drop,Warehouse A,Sealed,Refund,No,6,UPI,,East,Pending,No,Closed
101,29061,1213,2026-05-11,Quality Issue,118934.72,Rejected,Failed,Drop,Warehouse B,Opened,Replacement,No,5,Wallet,Excellent,North,Pending,No,Active
102,3682,8973,2025-07-07,Not as Described,27940.76,Completed,Passed,Pickup,Warehouse A,Sealed,Replacement,No,10,UPI,Good,West,Pending,No,Closed
103,5638,3781,2026-02-08,Quality Issue,1597.78,Rejected,Failed,Drop,Warehouse B,Sealed,Refund,Yes,1,Wallet,Good,West,Pending,Yes,Closed
104,3103,2962,2025-08-30,Not as Described,57134.01,Completed,Pending,Drop,Warehouse C,Sealed,Refund,Yes,3,UPI,Poor,South,Pending,Yes,Closed
105,20472,9860,2024-08-20,Wrong Item Delivered,63407.97,Rejected,Pending,Drop,Warehouse B,Opened,Refund,No,9,UPI,Excellent,South,Resolved,Yes,Closed
106,10382,2905,2025-11-07,Duplicate Order,47034.65,Pending,Pending,Pickup,Warehouse C,Opened,Refund,No,7,Wallet,Poor,West,Pending,Yes,Active
107,27070,5816,2026-03-16,Not as Described,25023.18,Pending,Pending,Drop,Warehouse A,Opened,Refund,No,9,UPI,Excellent,South,Pending,Yes,Active
108,12002,3609,2024-12-17,Late Delivery,138346.66,Pending,Pending,Drop,Warehouse A,Sealed,Refund,No,3,Wallet,Average,North,Resolved,Yes,Active
109,20317,9725,2025-10-17,Duplicate Order,61938.99,Rejected,Passed,Pickup,Warehouse A,Opened,Replacement,Yes,13,Wallet,Poor,North,Pending,No,Closed
110,47199,6814,2025-09-22,Missing Parts,23881.95,Pending,Failed,Pickup,Warehouse C,Opened,Refund,No,7,Bank Transfer,Poor,South,Pending,Yes,Closed
111,46311,1802,2025-05-07,Duplicate Order,32036.3,Pending,Passed,Drop,Warehouse C,Opened,Replacement,Yes,8,UPI,Average,West,Resolved,Yes,Active
112,1811,7276,2024-12-03,Missing Parts,61381.64,Rejected,Failed,Pickup,Warehouse A,Sealed,Replacement,Yes,13,UPI,,West,Pending,No,Closed
113,21840,8850,2024-10-22,Missing Parts,67742.18,Rejected,Failed,Pickup,Warehouse A,Sealed,Refund,Yes,5,Bank Transfer,Poor,East,Resolved,Yes,Closed
114,45496,8138,2026-07-27,Duplicate Order,85785.07,Pending,Failed,Pickup,Warehouse B,Opened,Refund,No,9,Bank Transfer,Excellent,West,Pending,No,Active
115,42560,5213,2025-01-25,Missing Parts,71089.43,Pending,Failed,Drop,Warehouse A,Opened,Replacement,Yes,1,UPI,Good,East,Pending,No,Active
116,8761,6706,2024-10-06,Quality Issue,20479.58,Pending,Pending,Drop,Warehouse A,Sealed,Replacement,No,9,Wallet,Poor,East,Pending,Yes,Closed
117,40997,2124,2024-10-08,Missing Parts,38344.85,Rejected,Failed,Pickup,WAREHOUSE C,Sealed,Replacement,Yes,12,UPI,Poor,South,Pending,Yes,Active
118,28788,7869,2025-04-30,Wrong Item Delivered,28576.01,Completed,Passed,Drop,Warehouse B,Sealed,Refund,No,12,UPI,Poor,West,Resolved,Yes,Active
119,10350,3175,2024-08-25,Not as Described,85042.24,Rejected,Failed,Drop,Warehouse A,Sealed,Replacement,No,11,Wallet,Average,West,Resolved,Yes,Closed
120,43748,5137,2025-06-13,Changed Mind,83391.99,Pending,Pending,Pickup,Warehouse C,Sealed,Replacement,No,6,Wallet,Average,East,Resolved,No,Closed
121,38789,9577,2025-09-02,Quality Issue,89301.79,Pending,Passed,Drop,Warehouse C,Opened,Replacement,No,11,Bank Transfer,Poor,South,Resolved,No,Closed
122,15045,7430,2026-01-13,Late Delivery,68013.68,Completed,Passed,Pickup,Warehouse C,Opened,Refund,Yes,7,Bank Transfer,Poor,North,Resolved,Yes,Active
123,19541,906,2024-09-23,Not as Described,38228.53,Pending,Pending,Pickup,Warehouse B,Sealed,Replacement,Yes,15,UPI,Good,North,Resolved,No,Active
124,11781,6953,2025-08-07,Missing Parts,54697.17,Pending,Passed,Drop,Warehouse A,Opened,Replacement,Yes,15,Bank Transfer,Average,West,Pending,Yes,Closed
125,3111,2268,2024-11-15,Wrong Item Delivered,82029.33,Pending,Passed,Drop,Warehouse C,Sealed,Refund,Yes,12,Bank Transfer,,South,Resolved,No,Closed
126,39578,6998,2024-11-03,Missing Parts,74626.89,Rejected,Passed,Pickup,Warehouse A,Sealed,Replacement,Yes,1,Bank Transfer,Poor,South,Pending,No,Closed
127,28653,2608,2025-06-26,Damaged Product,26715.2,Pending,Pending,Drop,Warehouse C,Opened,Refund,Yes,8,Bank Transfer,Good,West,Pending,Yes,Closed
128,33804,9758,2026-01-07,Late Delivery,91814.04,Completed,Failed,Pickup,Warehouse B,Sealed,Replacement,No,13,Wallet,Good,South,Resolved,No,Closed
129,12139,4961,2026-01-19,Wrong Item Delivered,110446.83,Completed,Pending,Pickup,Warehouse C,Opened,Refund,No,14,Wallet,Poor,North,Resolved,No,Active
130,28652,1038,2026-02-11,Damaged Product,25983.16,Pending,Passed,Drop,Warehouse B,Opened,Replacement,No,12,UPI,Poor,East,Resolved,Yes,Active
131,17282,3756,2025-08-22,Wrong Item Delivered,86223.21,Rejected,Passed,Pickup,Warehouse B,Opened,Replacement,No,3,UPI,Poor,East,Pending,No,Closed
132,17875,7329,2025-12-19,Quality Issue,78893.2,Rejected,Failed,Pickup,Warehouse A,Sealed,Refund,Yes,14,UPI,Excellent,East,Pending,No,Closed
133,1580,3482,2025-08-19,Not as Described,38193.32,Pending,Passed,Drop,WAREHOUSE A,Opened,Refund,No,10,UPI,Good,South,Resolved,Yes,Active
134,42992,8772,2025-04-16,Damaged Product,14609.39,Completed,Pending,Pickup,Warehouse B,Sealed,Refund,Yes,13,UPI,Good,East,Resolved,No,Closed
135,9104,6649,2024-08-14,Quality Issue,85771.44,Rejected,Pending,Pickup,Warehouse B,Sealed,Replacement,Yes,9,Wallet,Good,West,Pending,Yes,Closed
136,40647,9340,2025-03-27,Duplicate Order,18927.19,Rejected,Failed,Drop,Warehouse A,Sealed,Replacement,Yes,13,Wallet,Poor,South,Resolved,No,Active
137,47438,4903,2026-01-05,Damaged Product,83834.5,Rejected,Failed,Drop,Warehouse C,Opened,Replacement,Yes,5,UPI,Average,North,Pending,No,Active
138,32054,1645,2025-09-15,Late Delivery,15534.39,Completed,Failed,Drop,Warehouse C,Opened,Refund,Yes,13,Wallet,Good,West,Resolved,No,Closed
139,10359,2723,2026-04-23,Late Delivery,56468.07,Rejected,Passed,Drop,Warehouse A,Opened,Replacement,Yes,9,Bank Transfer,Average,West,Pending,No,Closed
140,42435,4403,2024-11-22,Not as Described,31031.94,Pending,Passed,Drop,Warehouse B,Opened,Replacement,No,7,UPI,Good,South,Resolved,No,Closed
141,2807,7421,2026-06-27,Duplicate Order,35905.31,Completed,Failed,Pickup,Warehouse B,Sealed,Replacement,No,12,Wallet,Poor,West,Resolved,No,Active
142,12779,3310,2024-08-28,Not as Described,98279.93,Completed,Pending,Pickup,Warehouse C,Opened,Refund,Yes,13,UPI,Poor,South,Resolved,Yes,Active
143,13219,1058,2026-01-15,Not as Described,14167.68,Pending,Passed,Drop,Warehouse C,Sealed,Refund,Yes,9,Wallet,Poor,North,Resolved,No,Closed
144,2864,3208,2024-11-08,Missing Parts,23065.27,Completed,Passed,Pickup,Warehouse C,Opened,Refund,Yes,10,Wallet,Average,East,Pending,No,Active
145,10929,3321,2026-06-04,Not as Described,146419.72,Rejected,Passed,Pickup,Warehouse B,Opened,Refund,Yes,7,Bank Transfer,Poor,West,Resolved,Yes,Active
146,35628,9871,2024-09-13,Missing Parts,29291.78,Rejected,Failed,Pickup,Warehouse C,Opened,Refund,Yes,15,Wallet,Poor,East,Resolved,Yes,Closed
147,36315,1173,2026-01-14,Damaged Product,11957.34,Completed,Failed,Pickup,Warehouse A,Opened,Replacement,Yes,5,UPI,Good,West,Pending,No,Active
148,33891,1707,2026-04-16,Wrong Item Delivered,81530.78,Rejected,Pending,Drop,Warehouse A,Opened,Replacement,Yes,14,UPI,Average,West,Pending,Yes,Closed
149,47796,3746,2024-09-01,Not as Described,37609.67,Completed,Failed,Drop,Warehouse B,Opened,Replacement,Yes,13,Wallet,Average,South,Resolved,Yes,Closed
150,38740,4226,2025-04-12,Quality Issue,92075.58,Rejected,Failed,Drop,Warehouse B,Opened,Refund,Yes,5,Bank Transfer,Average,East,Resolved,Yes,Active
151,13501,6875,2024-11-11,Missing Parts,29676.46,Completed,Passed,Pickup,Warehouse B,Opened,Replacement,No,1,Bank Transfer,Poor,West,Resolved,Yes,Active
152,2380,8987,2024-10-30,Quality Issue,37516.34,Pending,Failed,Drop,Warehouse B,Opened,Refund,Yes,7,Bank Transfer,Poor,East,Pending,Yes,Closed
153,48260,5653,2026-07-10,Not as Described,38256.44,Rejected,Pending,Pickup,Warehouse B,Opened,Refund,No,1,Bank Transfer,Average,West,Pending,No,Closed
154,8140,5281,2026-04-15,Quality Issue,58765.92,Pending,Failed,Pickup,Warehouse B,Sealed,Refund,No,6,Bank Transfer,Poor,South,Pending,No,Closed
155,37482,451,2025-03-27,Duplicate Order,55110.56,Completed,Pending,Pickup,Warehouse C,Opened,Refund,No,12,UPI,Poor,East,Resolved,No,Closed
156,37639,7530,2025-10-24,Late Delivery,92468.07,Pending,Pending,Pickup,Warehouse C,Sealed,Replacement,Yes,8,Wallet,Poor,West,Pending,Yes,Closed
157,14994,9139,2024-10-14,Wrong Item Delivered,81430.62,Completed,Passed,Drop,Warehouse A,Opened,Replacement,No,13,Bank Transfer,Excellent,North,Resolved,No,Active
158,2546,9192,2025-04-18,Late Delivery,10809.23,Pending,Failed,Drop,Warehouse B,Opened,Replacement,Yes,8,UPI,Average,West,Resolved,Yes,Active
159,37304,8229,2026-06-03,Not as Described,71889.83,Completed,Pending,Drop,Warehouse B,Sealed,Refund,No,12,Wallet,Poor,East,Resolved,No,Active
160,27320,463,2025-10-27,Damaged Product,44911.89,Pending,Pending,Pickup,Warehouse C,Opened,Refund,Yes,9,UPI,Average,West,Pending,Yes,Closed
161,46032,9354,2024-10-28,Missing Parts,63280.99,Pending,Passed,Pickup,Warehouse B,Sealed,Replacement,Yes,12,UPI,Good,East,Resolved,Yes,Active
162,235,7036,2024-09-30,Not as Described,37229.2,Completed,Failed,Drop,Warehouse C,Sealed,Replacement,No,10,UPI,Average,East,Pending,Yes,Closed
163,18400,4936,2025-10-21, Wrong Item Delivered ,53289.55,Rejected,Passed,Drop,Warehouse A,Opened,Replacement,Yes,3,Bank Transfer,Good,West,Pending,Yes,Closed
164,37862,2089,2026-01-09,Quality Issue,53555.9,Rejected,Passed,Drop,Warehouse B,Opened,Refund,No,14,Bank Transfer,Excellent,East,Resolved,No,Active
165,27811,5134,2026-06-27,Not as Described,82337.81,Pending,Pending,Drop,Warehouse B,Sealed,Replacement,Yes,2,Wallet,Excellent,South,Pending,Yes,Closed
